Alloy,Phase
AlAuCoCrCuNi,FCC+IM
AlCoCrCu0.5Fe,FCC+IM
AlCoCrCuFe,FCC+IM
AlCoCrCuFeMnNi,FCC+IM
Al0.125CoCrCuFeMnNiTiV,BCC+FCC
Al0.25CoCrCuFeMnNiTiV,BCC
Al0.67CoCrCuFeMnNiTiV,BCC+IM
AlCoCrCuFeMo0.2Ni,BCC+FCC
Al0.25CoCrCu0.75FeNi,FCC
Al0.3CoCrCuFeNi,FCC
Al0.5CoCrCu0.5FeNi,FCC
Al0.5CoCrCu0.5FeNi2,FCC+IM
Al0.5CoCrCuFeNi,FCC
Al0.75CoCrCu0.25FeNi,BCC+FCC
Al0.8CoCrCuFeNi,BCC+FCC
AlCo0.5CrCu0.5FeNi,IM
AlCo0.5CrCuFeNi,BCC+FCC+IM
AlCoCr0.5Cu0.5FeNi,BCC+FCC+IM
AlCoCr0.5CuFeNi,BCC+FCC+IM
AlCoCrCu0.25FeNi,BCC
AlCoCrCu0.5Fe0.5Ni,BCC+FCC
AlCoCrCu0.5FeNi1.5,BCC+FCC
AlCoCrCu0.5FeNi2,BCC+FCC
AlCoCrCu0.5FeNi2.5,BCC+IM
AlCoCrCu0.5FeNi3,IM
AlCoCrCu0.5Fe1.5Ni,FCC+IM
AlCoCrCu0.5Fe2Ni,FCC+IM
AlCoCrCuFe0.5Ni,BCC+FCC+IM
AlCoCrCuFeNi0.5,BCC+FCC+IM
AlCoCrCuFeNi,BCC+FCC
AlCoCr1.5Cu0.5FeNi,BCC+FCC
AlCoCr2Cu0.5FeNi,FCC+IM
AlCo1.5CrCu0.5FeNi,FCC+IM
AlCo2CrCu0.5FeNi,BCC+FCC
AlCo3CrCu0.5FeNi,BCC+FCC
AlCo3.5CrCu0.5FeNi,FCC
Al1.3CoCrCuFeNi,FCC+IM
Al1.4Co0.9Cr1.4Cu0.5Fe0.9Ni,BCC+IM
Al1.5CoCrCu0.5FeNi,IM
Al1.5CoCrCuFeNi,FCC+IM
Al1.8CoCrCuFeNi,FCC+IM
Al2CoCrCu0.5FeNi,IM
Al2CoCrCuFeNi,BCC+FCC
Al2.3CoCrCuFeNi,FCC+IM
Al2.5CoCrCuFeNi,FCC+IM
Al2.8CoCrCuFeNi,IM
Al3CoCrCuFeNi,IM
AlCoCrCu0.5FeNiSi,AM
AlCoCrCuFeNiSi,BCC+FCC
Al0.25CoCrCu0.75FeNiTi0.5,FCC
Al0.5CoCrCu0.5FeNiTi0.5,BCC+FCC
Al0.5CoCrCuFeNiTi0.2,FCC
Al0.5CoCrCuFeNiTi0.4,BCC+FCC
Al0.5CoCrCuFeNiTi0.6,BCC+FCC
Al0.5CoCrCuFeNiTi0.8,BCC+FCC+IM
Al0.5CoCrCuFeNiTi,BCC+FCC+IM
Al0.5CoCrCuFeNiTi1.2,BCC+FCC+IM
Al0.5CoCrCuFeNiTi1.4,BCC+FCC+IM
Al0.5CoCrCuFeNiTi1.6,BCC+FCC+IM
Al0.5CoCrCuFeNiTi1.8,BCC+FCC+IM
