index,Num_el,Li,Be,B,C,N,Na,Mg,Al,Si,P,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,Ta,W,Re,Ir,VEC,Pauling_EN,Melting_point_K,DFT_LDA_Etot,outer_shell_electrons,no_of_valence_electrons,Atomic_radius_calculated,Atomic_weight,Pauling_EN_div,entropy,Atomic_radius_calculated_dif,Enthalpy,Geo,E_per_el,Phase
AlAuCoCrCuNi,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666666,1.9166666666666663,1541.8166666666666,-3944.5990121666655,1.6666666666666663,10.666666666666666,1.5066666666666664,76.18616666666667,0.3028017319780203,14.896688227162048,11.759010854794967,-9.999999999999996,1077.3284925883588,-657.4331686944444,FCC+IM
Al0.125CoCrCuFeMnNiTiV,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153846153846153,0.0,0.0,0.0,0.0,0.123076923076923,0.123076923076923,0.123076923076923,0.123076923076923,0.123076923076923,0.123076923076923,0.123076923076923,0.123076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.430769230769231,1.7355384615384617,1786.9346153846154,-1182.9108831538465,1.7692307692307694,7.430769230769231,1.5886153846153848,54.90889230769231,0.1483242888894337,17.68335535327119,7.155794125100622,-9.520473372781066,3453.4168189983066,-131.43454257264958,BCC+FCC
Al0.25CoCrCuFeMnNiTiV,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303030303030303,0.0,0.0,0.0,0.0,0.1212121212121212,0.1212121212121212,0.1212121212121212,0.1212121212121212,0.1212121212121212,0.1212121212121212,0.1212121212121212,0.1212121212121212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.363636363636364,1.733636363636364,1773.998484848485,-1168.6442875454547,1.7878787878787878,7.363636363636364,1.5824242424242425,54.485757575757575,0.14799300110024,17.893574708843694,7.795806971055949,-10.240587695133147,2944.2518494803285,-129.8493652828283,BCC
Al0.67CoCrCuFeMnNiTiV,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077277970011534,0.0,0.0,0.0,0.0,0.1153402537485582,0.1153402537485582,0.1153402537485582,0.1153402537485582,0.1153402537485582,0.1153402537485582,0.1153402537485582,0.1153402537485582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1522491349480966,1.727647058823529,1733.2653402537485,-1123.7217892629758,1.8465974625144173,7.1522491349480966,1.5629296424452137,53.15339561707035,0.1467840570369639,18.214451575024587,9.478514439906997,-12.3343563628043,2027.3818182300863,-124.85797658477507,BCC+IM
AlCoCrCuFeMo0.2Ni,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1612903225806451,0.0,0.0,0.0,0.0,0.0,0.0,0.1612903225806451,0.0,0.1612903225806451,0.1612903225806451,0.1612903225806451,0.1612903225806451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.774193548387096,1.81,1661.2790322580645,-1268.144973548387,1.806451612903225,7.774193548387096,1.4903225806451612,54.06241935483871,0.1334408168923707,15.600943678756815,10.980022610856617,-6.347554630593131,1294.0301646013172,-181.1635676497696,BCC+FCC
Al0.25CoCrCu0.75FeNi,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,1.8215,1736.6,-1295.4926088000002,1.7000000000000002,8.4,1.5225,55.9748,0.1031637048578617,14.315917682449266,6.866381736977616,-1.2200000000000006,3036.430210445192,-215.91543480000004,FCC
Al0.3CoCrCuFeNi,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566037735849056,0.0,0.0,0.0,0.0,0.0,0.0,0.1886792452830188,0.0,0.1886792452830188,0.1886792452830188,0.1886792452830188,0.1886792452830188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.471698113207548,1.8232075471698117,1711.0745283018869,-1301.69345054717,1.6792452830188682,8.471698113207548,1.5158490566037737,56.05841509433962,0.1036826359601452,14.43190865112923,7.111423668363916,-0.6123175507297962,2853.715444105402,-216.94890842452835,FCC
Al0.5CoCrCu0.5FeNi,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.807,1715.4500000000005,-1225.6690944000002,1.8,8.0,1.509,54.14660000000001,0.1111800341788038,14.533431935812189,8.4733736352695,-5.200000000000001,2024.2095373314044,-204.2781824,FCC
Al0.5CoCrCuFeNi,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.272727272727273,1.8154545454545452,1682.7863636363636,-1263.134255,1.7272727272727275,8.272727272727273,1.5036363636363637,55.00109090909091,0.1093255053301949,14.697168880613487,8.185956247164597,-2.7107438016528937,2193.283878540063,-210.5223758333333,FCC
AlCoCrCu0.25FeNi,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.1904761904761904,0.0,0.1904761904761904,0.1904761904761904,0.1904761904761904,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38095238095238,1.7838095238095235,1658.0547619047616,-1112.296532047619,1.9523809523809523,7.38095238095238,1.4804761904761905,51.11190476190476,0.1204940698195475,14.335348767850853,10.65850439783053,-10.267573696145122,1261.873226755272,-185.3827553412698,BCC
